Verb,Tense,Subject,cntx_cat
কাটছিলাম,Past,1st,cntx_pst
কাটছিলি,Past,2nd_i,cntx_pst
কাটছিলুম,Past,1st,cntx_pst
কাটছিলে,Past,2nd_f,cntx_pst
কাটছিলেন,Past,pol_f,cntx_pst
কাটছিলেম,Past,1st,cntx_pst
কাটছিস,Present,2nd_i,cntx_prt
কাটছে,Present,3rd_f,cntx_prt
কাটছেন,Present,pol_f,cntx_prt
কাটত,Past,3rd_f,cntx_pst
কাটতাম,Past,1st,cntx_pst
কাটতিস,Past,2nd_i,cntx_pst
কাটতুম,Past,1st,cntx_pst
কাটতে,Past,2nd_f,cntx_pst
কাটতেন,Past,pol_f,cntx_pst
কাটতেম,Past,1st,cntx_pst
কাটনো,Present,obj_f,cntx_alt
কাটব,Future,1st,cntx_fut
কাটবার,Present,404_f,cntx_404
কাটবি,Future,2nd_i,cntx_fut
কাটবে,Future,2nd_f,cntx_fut
কাটবেন,Future,pol_f,cntx_fut
কাটবো,Future,1st,cntx_fut
কাটল,Past,3rd_f,cntx_pst
কাটলাম,Past,1st,cntx_pst
কাটলি,Past,2nd_i,cntx_pst
কাটলুম,Past,1st,cntx_pst
কাটলে,Past,2nd_f,cntx_pst
কাটলেন,Past,pol_f,cntx_pst
কাটলেম,Past,1st,cntx_pst
কাঁদ,Root,2nd_i,cntx_prt
কাঁদা,Base,pos_f,cntx_alt
কাঁদাই,Present,1st,cntx_prt
কাঁদাইও,Present,2nd_f,cntx_prt
কাঁদাইত,Past,3rd_f,cntx_pst
কাঁদাইতাম,Past,1st,cntx_pst
কাঁদাইতিস,Past,2nd_i,cntx_pst
কাঁদাইতে,Past,2nd_f,cntx_pst
কাঁদাইতেছ,Present,2nd_f,cntx_prt
কাঁদাইতেছি,Present,1st,cntx_prt
কাঁদাইতেছিল,Past,3rd_f,cntx_pst
কাঁদাইতেছিলাম,Past,1st,cntx_pst
কাঁদাইতেছিলি,Past,2nd_i,cntx_pst
কাঁদাইতেছিলে,Past,2nd_f,cntx_pst
কাঁদাইতেছিলেন,Past,pol_f,cntx_pst
কাঁদাইতেছিস,Present,2nd_i,cntx_prt
কাঁদাইতেছে,Present,3rd_f,cntx_prt
কাঁদাইতেছেন,Present,pol_f,cntx_prt
কাঁদাইতেন,Past,pol_f,cntx_pst
কাঁদাইব,Future,1st,cntx_fut
কাঁদাইবার,Present,404_f,cntx_404
কাঁদাইবি,Future,2nd_i,cntx_fut
